Variety,Class,Size,Package,Unit,Price,Total Sales,Sales Quantity,Closing Stock,Market,Variety_labeled,Class_labeled,Size_labeled,Package_labeled,Market_labeled
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,190,167700,882,6710,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,CRATE,20,150,7500,50,0,CAP,1,0,1,1,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,162,114410,704,4538,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,CRATE,20,140,14000,100,0,CAP,1,0,2,1,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,137,99224,720,2521,CAP,1,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,190,167700,882,6710,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,CRATE,20,150,7500,50,0,CAP,1,0,1,1,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,162,114410,704,4538,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,CRATE,20,140,14000,100,0,CAP,1,0,2,1,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,137,99224,720,2521,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,177,30835,174,6954,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,162,106000,654,3817,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,151,67110,444,1757,CAP,1,1,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,177,30835,174,6954,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,162,106000,654,3817,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,151,67110,444,1757,CAP,1,1,2,0,0
FINGERS (SINGLE),CLASS 2,EXTRA LARGE,BANANA BOX,18,130,45370,349,226,CAP,0,1,0,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,120,44520,371,400,CAP,0,1,1,0,0
