Variety,Class,Size,Package,Unit,Price,Total Sales,Sales Quantity,Closing Stock,Market,variety_labeled,class_labeled,size_labeled,package_labeled,market_labeled,kg_price
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,58,2918,50,918,BLO,4,0,4,0,0,6.44
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,10,30,1140,38,0,BLO,4,0,4,0,0,3.0
GOLDEN DELICIOUS,CLASS 2,SMALL,DOMPLE JUMBLE,9,35,530,15,53,BLO,4,0,3,0,0,3.89
GOLDEN DELICIOUS,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,11,68,410,6,30,BLO,4,0,0,0,0,6.18
GOLDEN DELICIOUS,CLASS 2,SMALL,DOMPLE JUMBLE,9,35,530,15,53,BLO,4,0,3,0,0,3.89
GOLDEN DELICIOUS,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,11,68,410,6,30,BLO,4,0,0,0,0,6.18
GOLDEN DELICIOUS,CLASS 2,LARGE,DOMPLE JUMBLE,9,83,22190,266,233,BLO,4,0,2,0,0,9.22
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,58,2918,50,918,BLO,4,0,4,0,0,6.44
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,10,30,1140,38,0,BLO,4,0,4,0,0,3.0
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,24,96,4,584,BLO,4,0,3,3,0,8.0
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,24,96,4,584,BLO,4,0,3,3,0,8.0
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,24,96,4,584,BLO,4,0,3,3,0,8.0
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,24,96,4,584,BLO,4,0,3,3,0,8.0
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,24,96,4,584,BLO,4,0,3,3,0,8.0
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,24,96,4,584,BLO,4,0,3,3,0,8.0
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,24,96,4,584,BLO,4,0,3,3,0,8.0
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,24,96,4,584,BLO,4,0,3,3,0,8.0
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,24,96,4,584,BLO,4,0,3,3,0,8.0
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,173,520,3,436,BLO,5,1,1,1,0,9.61
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,190,10640,56,505,BLO,5,1,2,1,0,10.56
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,173,520,3,436,BLO,5,1,1,1,0,9.61
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,190,10640,56,505,BLO,5,1,2,1,0,10.56
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,173,520,3,436,BLO,5,1,1,1,0,9.61
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,190,10640,56,505,BLO,5,1,2,1,0,10.56
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,173,520,3,436,BLO,5,1,1,1,0,9.61
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,190,10640,56,505,BLO,5,1,2,1,0,10.56
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,173,520,3,436,BLO,5,1,1,1,0,9.61
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,190,10640,56,505,BLO,5,1,2,1,0,10.56
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,173,520,3,436,BLO,5,1,1,1,0,9.61
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,190,10640,56,505,BLO,5,1,2,1,0,10.56
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,173,520,3,436,BLO,5,1,1,1,0,9.61
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,190,10640,56,505,BLO,5,1,2,1,0,10.56
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,173,520,3,436,BLO,5,1,1,1,0,9.61
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,190,10640,56,505,BLO,5,1,2,1,0,10.56
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,173,520,3,436,BLO,5,1,1,1,0,9.61
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,190,10640,56,505,BLO,5,1,2,1,0,10.56
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,210,3,16,BLO,5,0,2,0,0,7.78
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,210,3,16,BLO,5,0,2,0,0,7.78
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,210,3,16,BLO,5,0,2,0,0,7.78
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,210,3,16,BLO,5,0,2,0,0,7.78
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,210,3,16,BLO,5,0,2,0,0,7.78
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,210,3,16,BLO,5,0,2,0,0,7.78
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,210,3,16,BLO,5,0,2,0,0,7.78
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,210,3,16,BLO,5,0,2,0,0,7.78
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,210,3,16,BLO,5,0,2,0,0,7.78
GRANNY SMITH,CLASS 2,MEDIUM,ECONOMIC PACK,12,116,465,4,83,BLO,5,0,4,2,0,9.67
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,72,1448,20,360,BLO,5,1,3,2,0,6.0
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,72,1448,20,360,BLO,5,1,3,2,0,6.0
GRANNY SMITH,CLASS 2,MEDIUM,ECONOMIC PACK,12,116,465,4,83,BLO,5,0,4,2,0,9.67
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,72,1448,20,360,BLO,5,1,3,2,0,6.0
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,72,1448,20,360,BLO,5,1,3,2,0,6.0
GRANNY SMITH,CLASS 2,MEDIUM,ECONOMIC PACK,12,116,465,4,83,BLO,5,0,4,2,0,9.67
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,72,1448,20,360,BLO,5,1,3,2,0,6.0
GRANNY SMITH,CLASS 2,MEDIUM,ECONOMIC PACK,12,116,465,4,83,BLO,5,0,4,2,0,9.67
GRANNY SMITH,CLASS 2,MEDIUM,ECONOMIC PACK,12,116,465,4,83,BLO,5,0,4,2,0,9.67
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,72,1448,20,360,BLO,5,1,3,2,0,6.0
GRANNY SMITH,CLASS 2,MEDIUM,ECONOMIC PACK,12,116,465,4,83,BLO,5,0,4,2,0,9.67
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,72,1448,20,360,BLO,5,1,3,2,0,6.0
GRANNY SMITH,CLASS 2,MEDIUM,ECONOMIC PACK,12,116,465,4,83,BLO,5,0,4,2,0,9.67
GRANNY SMITH,CLASS 2,MEDIUM,ECONOMIC PACK,12,116,465,4,83,BLO,5,0,4,2,0,9.67
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,72,1448,20,360,BLO,5,1,3,2,0,6.0
GRANNY SMITH,CLASS 2,MEDIUM,ECONOMIC PACK,12,116,465,4,83,BLO,5,0,4,2,0,9.67
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,72,1448,20,360,BLO,5,1,3,2,0,6.0
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,50,1325,26,794,BLO,6,0,4,0,0,5.56
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,50,1325,26,794,BLO,6,0,4,0,0,5.56
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,50,1325,26,794,BLO,6,0,4,0,0,5.56
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,50,1325,26,794,BLO,6,0,4,0,0,5.56
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,50,1325,26,794,BLO,6,0,4,0,0,5.56
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,50,1325,26,794,BLO,6,0,4,0,0,5.56
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,50,1325,26,794,BLO,6,0,4,0,0,5.56
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,50,1325,26,794,BLO,6,0,4,0,0,5.56
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,50,1325,26,794,BLO,6,0,4,0,0,5.56
PINK LADY,CLASS 1,MEDIUM,ECONOMIC PACK,12,117,1172,10,0,BLO,6,1,4,2,0,9.75
PINK LADY,CLASS 1,MEDIUM,ECONOMIC PACK,12,117,1172,10,0,BLO,6,1,4,2,0,9.75
PINK LADY,CLASS 1,MEDIUM,ECONOMIC PACK,12,117,1172,10,0,BLO,6,1,4,2,0,9.75
PINK LADY,CLASS 1,MEDIUM,ECONOMIC PACK,12,117,1172,10,0,BLO,6,1,4,2,0,9.75
PINK LADY,CLASS 1,MEDIUM,ECONOMIC PACK,12,117,1172,10,0,BLO,6,1,4,2,0,9.75
PINK LADY,CLASS 1,MEDIUM,ECONOMIC PACK,12,117,1172,10,0,BLO,6,1,4,2,0,9.75
PINK LADY,CLASS 1,MEDIUM,ECONOMIC PACK,12,117,1172,10,0,BLO,6,1,4,2,0,9.75
PINK LADY,CLASS 1,MEDIUM,ECONOMIC PACK,12,117,1172,10,0,BLO,6,1,4,2,0,9.75
PINK LADY,CLASS 1,MEDIUM,ECONOMIC PACK,12,117,1172,10,0,BLO,6,1,4,2,0,9.75
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,62,2643,42,249,BLO,8,0,4,0,0,6.89
ROYAL GALA,CLASS 2,SMALL,DOMPLE JUMBLE,9,50,1000,20,0,BLO,8,0,3,0,0,5.56
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,62,2643,42,249,BLO,8,0,4,0,0,6.89
ROYAL GALA,CLASS 2,SMALL,DOMPLE JUMBLE,9,50,1000,20,0,BLO,8,0,3,0,0,5.56
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,62,2643,42,249,BLO,8,0,4,0,0,6.89
ROYAL GALA,CLASS 2,SMALL,DOMPLE JUMBLE,9,50,1000,20,0,BLO,8,0,3,0,0,5.56
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,62,2643,42,249,BLO,8,0,4,0,0,6.89
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,62,2643,42,249,BLO,8,0,4,0,0,6.89
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,62,2643,42,249,BLO,8,0,4,0,0,6.89
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,62,2643,42,249,BLO,8,0,4,0,0,6.89
ROYAL GALA,CLASS 2,SMALL,DOMPLE JUMBLE,9,50,1000,20,0,BLO,8,0,3,0,0,5.56
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,62,2643,42,249,BLO,8,0,4,0,0,6.89
ROYAL GALA,CLASS 2,SMALL,DOMPLE JUMBLE,9,50,1000,20,0,BLO,8,0,3,0,0,5.56
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,62,2643,42,249,BLO,8,0,4,0,0,6.89
ROYAL GALA,CLASS 2,SMALL,DOMPLE JUMBLE,9,50,1000,20,0,BLO,8,0,3,0,0,5.56
STARKING,CLASS 2,LARGE,DOMPLE JUMBLE,9,65,130,2,120,BLO,9,0,2,0,0,7.22
STARKING,CLASS 2,LARGE,DOMPLE JUMBLE,9,65,130,2,120,BLO,9,0,2,0,0,7.22
STARKING,CLASS 2,LARGE,DOMPLE JUMBLE,9,65,130,2,120,BLO,9,0,2,0,0,7.22
STARKING,CLASS 2,LARGE,DOMPLE JUMBLE,9,65,130,2,120,BLO,9,0,2,0,0,7.22
STARKING,CLASS 2,LARGE,DOMPLE JUMBLE,9,65,130,2,120,BLO,9,0,2,0,0,7.22
STARKING,CLASS 2,LARGE,DOMPLE JUMBLE,9,65,130,2,120,BLO,9,0,2,0,0,7.22
STARKING,CLASS 2,LARGE,DOMPLE JUMBLE,9,65,130,2,120,BLO,9,0,2,0,0,7.22
STARKING,CLASS 2,LARGE,DOMPLE JUMBLE,9,65,130,2,120,BLO,9,0,2,0,0,7.22
STARKING,CLASS 2,LARGE,DOMPLE JUMBLE,9,65,130,2,120,BLO,9,0,2,0,0,7.22
STARKING,CLASS 1,SMALL,ECONOMIC PACK,12,148,444,3,74,BLO,9,1,3,2,0,12.33
STARKING,CLASS 1,SMALL,ECONOMIC PACK,12,148,444,3,74,BLO,9,1,3,2,0,12.33
STARKING,CLASS 1,SMALL,ECONOMIC PACK,12,148,444,3,74,BLO,9,1,3,2,0,12.33
STARKING,CLASS 1,SMALL,ECONOMIC PACK,12,148,444,3,74,BLO,9,1,3,2,0,12.33
STARKING,CLASS 1,SMALL,ECONOMIC PACK,12,148,444,3,74,BLO,9,1,3,2,0,12.33
STARKING,CLASS 1,SMALL,ECONOMIC PACK,12,148,444,3,74,BLO,9,1,3,2,0,12.33
STARKING,CLASS 1,SMALL,ECONOMIC PACK,12,148,444,3,74,BLO,9,1,3,2,0,12.33
STARKING,CLASS 1,SMALL,ECONOMIC PACK,12,148,444,3,74,BLO,9,1,3,2,0,12.33
STARKING,CLASS 1,SMALL,ECONOMIC PACK,12,148,444,3,74,BLO,9,1,3,2,0,12.33
SUNDOWNER,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,67,5896,88,197,BLO,10,0,4,0,0,7.44
SUNDOWNER,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,67,5896,88,197,BLO,10,0,4,0,0,7.44
SUNDOWNER,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,67,5896,88,197,BLO,10,0,4,0,0,7.44
SUNDOWNER,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,67,5896,88,197,BLO,10,0,4,0,0,7.44
SUNDOWNER,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,67,5896,88,197,BLO,10,0,4,0,0,7.44
SUNDOWNER,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,67,5896,88,197,BLO,10,0,4,0,0,7.44
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,235,3060,13,506,BLO,11,1,1,1,0,13.06
TOP RED,CLASS 1,LARGE,CARTON,18,230,33810,147,147,BLO,11,1,2,1,0,12.78
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,235,3060,13,506,BLO,11,1,1,1,0,13.06
TOP RED,CLASS 1,LARGE,CARTON,18,230,33810,147,147,BLO,11,1,2,1,0,12.78
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,235,3060,13,506,BLO,11,1,1,1,0,13.06
TOP RED,CLASS 1,LARGE,CARTON,18,230,33810,147,147,BLO,11,1,2,1,0,12.78
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,235,3060,13,506,BLO,11,1,1,1,0,13.06
TOP RED,CLASS 1,LARGE,CARTON,18,230,33810,147,147,BLO,11,1,2,1,0,12.78
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,235,3060,13,506,BLO,11,1,1,1,0,13.06
TOP RED,CLASS 1,LARGE,CARTON,18,230,33810,147,147,BLO,11,1,2,1,0,12.78
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,235,3060,13,506,BLO,11,1,1,1,0,13.06
TOP RED,CLASS 1,LARGE,CARTON,18,230,33810,147,147,BLO,11,1,2,1,0,12.78
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,235,3060,13,506,BLO,11,1,1,1,0,13.06
TOP RED,CLASS 1,LARGE,CARTON,18,230,33810,147,147,BLO,11,1,2,1,0,12.78
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,235,3060,13,506,BLO,11,1,1,1,0,13.06
TOP RED,CLASS 1,LARGE,CARTON,18,230,33810,147,147,BLO,11,1,2,1,0,12.78
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,235,3060,13,506,BLO,11,1,1,1,0,13.06
TOP RED,CLASS 1,LARGE,CARTON,18,230,33810,147,147,BLO,11,1,2,1,0,12.78
TOP RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,85,8500,100,41,BLO,11,0,2,0,0,9.44
TOP RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,85,8500,100,41,BLO,11,0,2,0,0,9.44
TOP RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,85,8500,100,41,BLO,11,0,2,0,0,9.44
TOP RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,85,8500,100,41,BLO,11,0,2,0,0,9.44
TOP RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,85,8500,100,41,BLO,11,0,2,0,0,9.44
TOP RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,85,8500,100,41,BLO,11,0,2,0,0,9.44
TOP RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,85,8500,100,41,BLO,11,0,2,0,0,9.44
TOP RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,85,8500,100,41,BLO,11,0,2,0,0,9.44
TOP RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,85,8500,100,41,BLO,11,0,2,0,0,9.44
TOP RED,CLASS 2,SMALL,QUARTER POCKET,3,18,18,1,300,BLO,11,0,3,3,0,6.0
TOP RED,CLASS 2,SMALL,QUARTER POCKET,3,18,18,1,300,BLO,11,0,3,3,0,6.0
TOP RED,CLASS 2,SMALL,QUARTER POCKET,3,18,18,1,300,BLO,11,0,3,3,0,6.0
TOP RED,CLASS 2,SMALL,QUARTER POCKET,3,18,18,1,300,BLO,11,0,3,3,0,6.0
TOP RED,CLASS 2,SMALL,QUARTER POCKET,3,18,18,1,300,BLO,11,0,3,3,0,6.0
TOP RED,CLASS 2,SMALL,QUARTER POCKET,3,18,18,1,300,BLO,11,0,3,3,0,6.0
TOP RED,CLASS 2,SMALL,QUARTER POCKET,3,18,18,1,300,BLO,11,0,3,3,0,6.0
TOP RED,CLASS 2,SMALL,QUARTER POCKET,3,18,18,1,300,BLO,11,0,3,3,0,6.0
TOP RED,CLASS 2,SMALL,QUARTER POCKET,3,18,18,1,300,BLO,11,0,3,3,0,6.0
BRAEBURN,CLASS 1,LARGE,CARTON,18,76,1069,14,97,BLO,0,1,2,1,0,4.22
BRAEBURN,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,1480,21,33,BLO,0,0,2,0,0,7.78
CRIPPS PINK,CLASS 1,EXTRA LARGE,CARTON,18,180,540,3,6,BLO,1,1,1,1,0,10.0
CRIPPS PINK,CLASS 2,LARGE,DOMPLE JUMBLE,9,73,4698,64,482,BLO,1,0,2,0,0,8.11
CRIPPS PINK,CLASS 1,SMALL,ECONOMIC PACK,12,120,240,2,107,BLO,1,1,3,2,0,10.0
CRIPPS PINK,CLASS 1,MEDIUM,ECONOMIC PACK,12,120,2536,21,13,BLO,1,1,4,2,0,10.0
FUJI,CLASS 2,EXTRA LARGE,CARTON,18,112,674,6,69,BLO,3,0,1,1,0,6.22
FUJI,CLASS 1,SMALL,CARTON,18,95,1530,16,23,BLO,3,1,3,1,0,5.28
FUJI,CLASS 2,SMALL,CARTON,18,112,338,3,26,BLO,3,0,3,1,0,6.22
FUJI,CLASS 1,MEDIUM,ECONOMIC PACK,12,112,112,1,3,BLO,3,1,4,2,0,9.33
FUJI,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,70,350,5,268,BLO,3,0,0,0,0,7.78
FUJI,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,69,2097,30,192,BLO,3,0,4,0,0,7.67
GOLDEN DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,18,237,6890,29,106,BLO,4,1,1,1,0,13.17
GOLDEN DELICIOUS,CLASS 1,LARGE,CARTON,18,220,1100,5,263,BLO,4,1,2,1,0,12.22
GOLDEN DELICIOUS,CLASS 2,SMALL,ECONOMIC PACK,12,38,4480,115,203,BLO,4,0,3,2,0,3.17
GOLDEN DELICIOUS,CLASS 1,SMALL,ECONOMIC PACK,12,131,3292,25,283,BLO,4,1,3,2,0,10.92
GOLDEN DELICIOUS,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,70,6300,90,129,BLO,4,0,0,0,0,7.78
GOLDEN DELICIOUS,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,11,70,280,4,40,BLO,4,0,0,0,0,6.36
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,66,12231,183,1154,BLO,4,0,4,0,0,7.33
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,10,50,250,5,49,BLO,4,0,4,0,0,5.0
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,11,73,1100,15,0,BLO,4,0,4,0,0,6.64
GOLDEN DELICIOUS,CLASS 2,SMALL,DOMPLE JUMBLE,9,67,6073,90,81,BLO,4,0,3,0,0,7.44
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,20,306,15,602,BLO,4,0,3,3,0,6.67
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,176,1410,8,442,BLO,5,1,1,1,0,9.78
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,120,360,3,561,BLO,5,1,2,1,0,6.67
GRANNY SMITH,CLASS 1,MEDIUM,CARTON,18,58,2060,35,0,BLO,5,1,4,1,0,3.22
GRANNY SMITH,CLASS 2,LARGE,CARTON,18,176,530,3,60,BLO,5,0,2,1,0,9.78
GRANNY SMITH,CLASS 2,MEDIUM,CARTON,18,75,378,5,36,BLO,5,0,4,1,0,4.17
GRANNY SMITH,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,53,5978,111,322,BLO,5,0,4,0,0,5.89
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,47,855,18,25,BLO,5,0,2,0,0,5.22
GRANNY SMITH,CLASS 2,MEDIUM,ECONOMIC PACK,12,120,240,2,87,BLO,5,0,4,2,0,10.0
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,90,1992,22,385,BLO,5,1,3,2,0,7.5
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,59,3280,55,845,BLO,6,0,4,0,0,6.56
PINK LADY,CLASS 1,MEDIUM,ECONOMIC PACK,12,113,2164,19,10,BLO,6,1,4,2,0,9.42
PINK LADY,CLASS 1,SMALL,ECONOMIC PACK,12,80,320,4,4,BLO,6,1,3,2,0,6.67
ROYAL GALA,CLASS 2,LARGE,DOMPLE JUMBLE,9,60,120,2,63,BLO,8,0,2,0,0,6.67
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,61,14276,231,341,BLO,8,0,4,0,0,6.78
ROYAL GALA,CLASS 2,SMALL,DOMPLE JUMBLE,9,50,13500,270,90,BLO,8,0,3,0,0,5.56
ROYAL GALA,CLASS 2,SMALL,QUARTER POCKET,3,20,4774,232,12,BLO,8,0,3,3,0,6.67
STARKING,CLASS 1,EXTRA LARGE,CARTON,18,190,570,3,583,BLO,9,1,1,1,0,10.56
STARKING,CLASS 1,LARGE,CARTON,18,180,2160,12,24,BLO,9,1,2,1,0,10.0
STARKING,CLASS 2,LARGE,DOMPLE JUMBLE,9,65,520,8,134,BLO,9,0,2,0,0,7.22
STARKING,CLASS 1,SMALL,ECONOMIC PACK,12,138,3316,24,128,BLO,9,1,3,2,0,11.5
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,220,4860,22,316,BLO,11,1,1,1,0,12.22
TOP RED,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,56,505,9,59,BLO,11,0,4,0,0,6.22
TOP RED,CLASS 2,SMALL,QUARTER POCKET,3,15,1536,102,302,BLO,11,0,3,3,0,5.0
BRAEBURN,CLASS 1,LARGE,CARTON,18,130,130,1,151,BLO,0,1,2,1,0,7.22
BRAEBURN,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,1760,25,65,BLO,0,0,2,0,0,7.78
BRAEBURN,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,70,6300,90,0,BLO,0,0,4,0,0,7.78
CRIPPS PINK,CLASS 1,SMALL,CARTON,18,113,340,3,408,BLO,1,1,3,1,0,6.28
CRIPPS PINK,CLASS 1,LARGE,CARTON,18,168,1680,10,2,BLO,1,1,2,1,0,9.33
CRIPPS PINK,CLASS 2,LARGE,DOMPLE JUMBLE,9,73,515,7,571,BLO,1,0,2,0,0,8.11
FUJI,CLASS 1,LARGE,CARTON,18,130,390,3,15,BLO,3,1,2,1,0,7.22
FUJI,CLASS 2,LARGE,CARTON,18,110,110,1,84,BLO,3,0,2,1,0,6.11
FUJI,CLASS 1,MEDIUM,ECONOMIC PACK,12,120,240,2,5,BLO,3,1,4,2,0,10.0
FUJI,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,75,75,1,289,BLO,3,0,0,0,0,8.33
FUJI,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,70,425,6,258,BLO,3,0,4,0,0,7.78
GOLDEN DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,18,244,1710,7,61,BLO,4,1,1,1,0,13.56
GOLDEN DELICIOUS,CLASS 1,LARGE,CARTON,18,230,12880,56,175,BLO,4,1,2,1,0,12.78
GOLDEN DELICIOUS,CLASS 2,SMALL,ECONOMIC PACK,12,70,350,5,328,BLO,4,0,3,2,0,5.83
GOLDEN DELICIOUS,CLASS 1,SMALL,ECONOMIC PACK,12,116,1868,16,375,BLO,4,1,3,2,0,9.67
GOLDEN DELICIOUS,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,11,75,750,10,57,BLO,4,0,0,0,0,6.82
GOLDEN DELICIOUS,CLASS 2,LARGE,DOMPLE JUMBLE,9,80,2400,30,94,BLO,4,0,2,0,0,8.89
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,70,1135,16,1241,BLO,4,0,4,0,0,7.78
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,10,55,440,8,54,BLO,4,0,4,0,0,5.5
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,11,75,375,5,23,BLO,4,0,4,0,0,6.82
GOLDEN DELICIOUS,CLASS 2,SMALL,DOMPLE JUMBLE,9,39,1260,32,122,BLO,4,0,3,0,0,4.33
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,16,32,2,20,BLO,4,0,3,3,0,5.33
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,185,185,1,461,BLO,5,1,1,1,0,10.28
GRANNY SMITH,CLASS 1,MEDIUM,CARTON,18,100,100,1,49,BLO,5,1,4,1,0,5.56
GRANNY SMITH,CLASS 2,LARGE,CARTON,18,180,180,1,66,BLO,5,0,2,1,0,10.0
GRANNY SMITH,CLASS 2,MEDIUM,CARTON,18,82,82,1,43,BLO,5,0,4,1,0,4.56
