Variety,Class,Size,Package,Unit,Price,Total Sales,Sales Quantity,Closing Stock,Market,variety_labeled,class_labeled,size_labeled,package_labeled,market_labeled,kg_price
CRIPPS RED,CLASS 1,SMALL,ECONOMIC PACK,12,121,2060,17,110,BLO,2,1,3,2,0,10.08
CRIPPS RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,6370,91,288,BLO,2,0,2,0,0,7.78
CRIPPS RED,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,75,75,1,27,BLO,2,0,0,0,0,8.33
FUJI,CLASS 1,EXTRA LARGE,CARTON,18,180,180,1,46,BLO,3,1,1,1,0,10.0
FUJI,CLASS 1,LARGE,CARTON,18,180,540,3,18,BLO,3,1,2,1,0,10.0
FUJI,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,72,72,1,101,BLO,3,0,0,0,0,8.0
FUJI,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,74,965,13,238,BLO,3,0,4,0,0,8.22
GOLDEN DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,18,250,1750,7,59,BLO,4,1,1,1,0,13.89
GOLDEN DELICIOUS,CLASS 1,LARGE,CARTON,18,215,6450,30,22,BLO,4,1,2,1,0,11.94
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,26,134,5,234,BLO,4,0,3,3,0,8.67
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,81,35230,431,317,BLO,4,0,4,0,0,9.0
GOLDEN DELICIOUS,CLASS 2,SMALL,DOMPLE JUMBLE,9,60,960,16,72,BLO,4,0,3,0,0,6.67
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,170,170,1,251,BLO,5,1,1,1,0,9.44
GRANNY SMITH,CLASS 2,LARGE,CARTON,18,160,320,2,25,BLO,5,0,2,1,0,8.89
GRANNY SMITH,CLASS 1,MEDIUM,ECONOMIC PACK,12,120,120,1,78,BLO,5,1,4,2,0,10.0
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,108,216,2,170,BLO,5,1,3,2,0,9.0
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,61,2205,36,402,BLO,5,0,2,0,0,6.78
GRANNY SMITH,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,55,885,16,435,BLO,5,0,4,0,0,6.11
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,62,125,2,391,BLO,6,0,4,0,0,6.89
RED DELICIOUS,CLASS 1,LARGE,CARTON,18,160,320,2,95,BLO,12,1,2,1,0,8.89
RED DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,70,350,5,10,BLO,12,0,4,0,0,7.78
ROME BEAUTY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,56,1350,24,75,BLO,13,0,4,0,0,6.22
ROYAL BEAUT,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,74,74,1,29,BLO,7,0,4,0,0,8.22
ROYAL GALA,CLASS 1,SMALL,CARTON,18,160,3040,19,25,BLO,8,1,3,1,0,8.89
