Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock,Market
BANANAS,HANDS,NOT GRADED,MEDIUM,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,2508,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R148.60,R220.00,R100.00,R148.60,R204920,1379,11816,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,450,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,CRATE,18.00 kg,R80.00,R80.00,R80.00,R80.00,R2960,37,0,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R148.60,R220.00,R100.00,R148.60,R204920,1379,11816,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,450,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,CRATE,18.00 kg,R80.00,R80.00,R80.00,R80.00,R2960,37,0,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R148.60,R220.00,R100.00,R148.60,R204920,1379,11816,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,450,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,CRATE,18.00 kg,R80.00,R80.00,R80.00,R80.00,R2960,37,0,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R126.18,R180.00,R100.00,R126.18,R96405,764,6714,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,869,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,CRATE,18.00 kg,R92.65,R100.00,R80.00,R92.65,R9080,98,22,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R124.14,R130.00,R120.00,R124.14,R38360,309,3724,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,2508,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R148.60,R220.00,R100.00,R148.60,R204920,1379,11816,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,450,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,CRATE,18.00 kg,R80.00,R80.00,R80.00,R80.00,R2960,37,0,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R126.18,R180.00,R100.00,R126.18,R96405,764,6714,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,869,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,CRATE,18.00 kg,R92.65,R100.00,R80.00,R92.65,R9080,98,22,Durban Fresh Produce Market (DUR)
